100,NEM12,202205011135,MDA1,Ret1
200,6407000000,B1E1,E1,E1,,0914269,KWH,30,
300,20220728,1.175,0.663,0.369,0.375,0.375,0.381,0.406,0.356,0.400,0.413,0.394,0.388,0.394,0.975,3.013,1.413,0.775,0.781,0.350,0.256,0.306,0.413,0.344,0.119,0.038,0.913,0.106,0.013,0.025,0.219,0.181,0.356,0.750,0.775,0.831,1.444,1.344,1.463,1.850,1.850,1.100,1.319,1.306,1.450,1.319,1.419,1.344,1.338,A,,,20220729013934,
300,20220729,1.306,0.900,0.331,0.350,0.369,0.331,0.350,0.356,0.356,0.338,0.363,0.344,0.431,0.800,2.750,2.044,0.781,0.038,0.331,0.206,0.081,0.025,0.000,0.000,0.006,0.075,0.175,0.019,0.056,0.031,0.019,0.238,0.531,0.000,0.050,0.256,0.900,0.944,0.694,2.394,2.056,1.544,2.175,1.825,1.931,1.025,0.525,0.538,V,,,20220730014341,
400,1,29,A,,
400,30,30,A,79,
400,31,48,A,,
200,6407000000,B1E1,B1,B1,,0914269,KWH,30,
300,20220728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.019,0.013,0.013,0.063,0.069,0.213,0.163,0.006,0.431,0.563,0.656,0.275,0.381,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,A,,,20220729013934,
300,20220729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.075,0.219,0.138,0.338,0.425,0.788,0.925,0.844,0.431,0.206,0.394,0.175,0.025,0.406,0.063,0.013,0.200,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,V,,,20220730014341,
400,1,29,A,,
400,30,30,A,79,
400,31,48,A,,
900
